Actions,WIID,Description,Type,Status,Date
,88208572,Calculate Client Security Hash,WI5,Open,2021-05-29
,88208568,Calculate Client Security Hash,WI5,Open,2020-12-30
,88208614,Research Client Check Copy,WI2,Open,2018-07-26
,88208634,Research Client Check Copy,WI2,Open,2019-03-04
,88208578,Generate Yearly Report for Vendor,WI4,Open,2022-04-18
,88208645,Verify Account Position,WI1,Open,2021-05-13
,88208565,Calculate Client Security Hash,WI5,Open,2017-08-23
,88208649,Verify Account Position,WI1,Open,2019-02-24
,88208624,Research Client Check Copy,WI2,Open,2019-01-23
,88208590,Generate Yearly Report for Vendor,WI4,Open,2020-12-08
,88208662,Verify Account Position,WI1,Open,2020-02-21
,88208596,Process Vendor Invoice,WI3,Open,2021-05-13
,88208598,Process Vendor Invoice,WI3,Open,2022-06-10
,88208608,Process Vendor Invoice,WI3,Open,2022-06-16
,88208612,Research Client Check Copy,WI2,Open,2019-07-04
,88208660,Verify Account Position,WI1,Open,2020-03-08
,88208591,Process Vendor Invoice,WI3,Open,2019-06-04
,88208653,Verify Account Position,WI1,Open,2021-04-02
,88208560,Calculate Client Security Hash,WI5,Open,2019-01-04
,88208601,Process Vendor Invoice,WI3,Open,2019-10-09
,88208640,Research Client Check Copy,WI2,Open,2018-12-31
,88208639,Research Client Check Copy,WI2,Open,2017-04-23
,88208600,Process Vendor Invoice,WI3,Open,2020-03-22
,88208589,Generate Yearly Report for Vendor,WI4,Open,2020-10-15
,88208637,Research Client Check Copy,WI2,Open,2018-11-02
,88208595,Process Vendor Invoice,WI3,Open,2017-10-14
,88208625,Research Client Check Copy,WI2,Open,2018-08-23
,88208604,Process Vendor Invoice,WI3,Open,2020-12-19
,88208636,Research Client Check Copy,WI2,Open,2019-11-25
,88208592,Process Vendor Invoice,WI3,Open,2019-02-11
,88208575,Generate Yearly Report for Vendor,WI4,Open,2020-08-17
,88208571,Calculate Client Security Hash,WI5,Open,2019-09-08
,88208628,Research Client Check Copy,WI2,Open,2022-07-11
,88208635,Research Client Check Copy,WI2,Open,2017-03-13
,88208583,Generate Yearly Report for Vendor,WI4,Open,2021-07-10
,88208593,Process Vendor Invoice,WI3,Open,2018-12-10
,88208621,Research Client Check Copy,WI2,Open,2021-06-16
,88208658,Verify Account Position,WI1,Open,2019-03-10
,88208567,Calculate Client Security Hash,WI5,Open,2018-08-11
,88208584,Generate Yearly Report for Vendor,WI4,Open,2017-10-22
,88208665,Verify Account Position,WI1,Open,2020-12-02
,88208602,Process Vendor Invoice,WI3,Open,2021-05-28
,88208642,Verify Account Position,WI1,Open,2019-07-05
,88208638,Research Client Check Copy,WI2,Open,2020-05-11
,88208641,Research Client Check Copy,WI2,Open,2020-02-06
,88208627,Research Client Check Copy,WI2,Open,2022-06-27
,88208657,Verify Account Position,WI1,Open,2017-09-26
,88208631,Research Client Check Copy,WI2,Open,2017-03-07
,88208646,Verify Account Position,WI1,Open,2021-09-07
,88208581,Generate Yearly Report for Vendor,WI4,Open,2022-06-12
,88208562,Calculate Client Security Hash,WI5,Open,2017-09-05
,88208594,Process Vendor Invoice,WI3,Open,2022-07-02
,88208664,Verify Account Position,WI1,Open,2018-04-17
,88208606,Process Vendor Invoice,WI3,Open,2017-12-06
